timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
215153995,1,1,0,0,1,7475.74853515625
215555594,1,1,0,0,1,7500.8349609375
215957178,1,1,0,0,1,7726.61279296875
216358790,1,1,0,0,1,7565.34326171875
216760395,1,1,0,0,1,7511.58642578125
217161995,1,1,0,0,1,7945.22314453125
217563589,1,1,0,0,1,8067.0712890625
217965187,1,1,0,0,1,8016.8984375
218366783,1,1,0,0,1,8206.837890625
218768390,1,1,0,0,1,8540.12890625
219169965,1,1,0,0,1,7604.7646484375
219571541,1,1,0,0,1,8167.4169921875
219973149,1,1,0,0,1,7181.87939453125
220374746,1,1,0,0,1,7572.5107421875
220776338,1,1,0,0,1,7608.34814453125
221177942,1,1,0,0,1,7776.78564453125
221579536,1,1,0,0,1,7579.67822265625
221981102,1,1,0,0,1,7339.5654296875
222382697,1,1,0,0,1,7479.33251953125
222784294,1,1,0,0,1,7257.138671875
223185914,1,1,0,0,1,7697.94287109375
223587475,1,1,0,0,1,8084.990234375
223989069,1,1,0,0,1,7640.60205078125
224390666,1,1,0,0,1,7733.7802734375
224792262,1,1,0,0,1,7801.8720703125
225193865,1,1,0,0,1,7830.5419921875
225595459,1,1,0,0,1,8163.8330078125
225997045,1,1,0,0,1,8020.48193359375
226398623,1,1,0,0,1,7601.1806640625
226800226,1,1,0,0,1,7995.3955078125
227201819,1,1,0,0,1,7952.390625
227603419,1,1,0,0,1,7991.81201171875
228005014,1,1,0,0,1,8009.73095703125
228406609,1,1,0,0,1,7662.10498046875
228808226,1,1,0,0,1,7533.08935546875
229209804,1,1,0,0,1,7733.7802734375
229611363,1,1,0,0,1,7493.66748046875
230012989,1,1,0,0,1,7461.41357421875
230414581,1,1,0,0,1,8188.91943359375
230816182,1,1,0,0,1,7948.806640625
231217773,1,1,0,0,1,7464.99755859375
231619368,1,1,0,0,1,7421.9921875
232020964,1,1,0,0,1,7432.74365234375
232422521,1,1,0,0,1,7533.08935546875
232824115,1,1,0,0,1,7773.20166015625
233225746,1,1,0,0,1,7654.9375
233627329,1,1,0,0,1,8095.7412109375
234028930,1,1,0,0,1,8070.65478515625
234430484,1,1,0,0,1,8142.33056640625
234832078,1,1,0,0,1,7497.25146484375
235233675,1,1,0,0,1,7852.044921875
235635269,1,1,0,0,1,8773.07421875
236036878,1,1,0,0,1,8181.751953125
236438480,1,1,0,0,1,7246.38720703125
236840100,1,1,0,0,1,7421.9921875
237241697,1,1,0,0,1,8192.5029296875
237643287,1,1,0,0,1,8138.74658203125
238044888,1,1,0,0,1,8156.66552734375
238446479,1,1,0,0,1,8024.06591796875
238848070,1,1,0,0,1,7450.66259765625
239249669,1,1,0,0,1,7504.4189453125
239651266,1,1,0,0,1,8009.73095703125
240052872,1,1,0,0,1,8031.2333984375
240454503,1,1,0,0,1,7877.13134765625
240856099,1,1,0,0,1,7923.72021484375
241257700,1,1,0,0,1,8041.98486328125
241659293,1,1,0,0,1,8185.33544921875
242060894,1,1,0,0,1,8110.07666015625
242462502,1,1,0,0,1,8171.00048828125
242864095,1,1,0,0,1,7153.20947265625
243265684,1,1,0,0,1,8117.244140625
243667317,1,1,0,0,1,8131.5791015625
244068913,1,1,0,0,1,7733.7802734375
244470513,1,1,0,0,1,7712.27783203125
244872112,1,1,0,0,1,7457.830078125
245273677,1,1,0,0,1,7737.3642578125
245675278,1,1,0,0,1,7658.52099609375
246076835,1,1,0,0,1,7991.81201171875
246478443,1,1,0,0,1,7601.1806640625
246880037,1,1,0,0,1,8059.90380859375
247281647,1,1,0,0,1,8188.91943359375
247683209,1,1,0,0,1,8013.314453125
248084767,1,1,0,0,1,7773.20166015625
248486339,1,1,0,0,1,7945.22314453125
248887938,1,1,0,0,1,8013.314453125
249289533,1,1,0,0,1,7955.97412109375
249691132,1,1,0,0,1,8016.8984375
250092738,1,1,0,0,1,8056.31982421875
250494355,1,1,0,0,1,7912.96875
250895958,1,1,0,0,1,7963.1416015625
251297567,1,1,0,0,1,7905.80126953125
251699164,1,1,0,0,1,7464.99755859375
252100768,1,1,0,0,1,7912.96875
252502359,1,1,0,0,1,7859.21240234375
252903965,1,1,0,0,1,7895.05029296875
253305569,1,1,0,0,1,8038.40087890625
253707163,1,1,0,0,1,7508.0029296875
254108776,1,1,0,0,1,8049.15234375
254510383,1,1,0,0,1,8074.23876953125
254911984,1,1,0,0,1,7848.4609375
255313573,1,1,0,0,1,7568.9267578125
255715167,1,1,0,0,1,8041.98486328125
256116766,1,1,0,0,1,8267.7626953125
256518377,1,1,0,0,1,7970.3095703125
256919971,1,1,0,0,1,8145.9140625
257321586,1,1,0,0,1,7443.49462890625
257723183,1,1,0,0,1,7633.4345703125
258124778,1,1,0,0,1,7740.94775390625
258526375,1,1,0,0,1,7497.25146484375
258927955,1,1,0,0,1,7708.69384765625
