timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,pressure (PSI)
188648549,0,0,0,0,1,41.47370147705078
189050130,0,0,0,0,1,42.145545959472656
189451725,0,0,0,0,1,39.121620178222656
189853326,0,0,0,0,1,37.59038543701172
190254929,0,0,0,0,1,36.61914825439453
190656520,0,0,0,0,1,43.97408676147461
191058119,0,0,0,0,1,46.958282470703125
191459720,0,0,0,0,1,40.577781677246094
191861287,0,0,0,0,1,46.47344970703125
192262899,0,0,0,0,1,46.47344970703125
192664507,0,0,0,0,1,43.8248405456543
193066066,0,0,0,0,1,50.798343658447266
193467639,0,0,0,0,1,39.569705963134766
193869235,0,0,0,0,1,47.7786865234375
194270837,0,0,0,0,1,41.884281158447266
194672437,0,0,0,0,1,46.69721984863281
195074040,0,0,0,0,1,39.38300704956055
195475637,0,0,0,0,1,42.66804504394531
195877256,0,0,0,0,1,44.496429443359375
196278857,0,0,0,0,1,42.18286895751953
196680455,0,0,0,0,1,47.443077087402344
197082054,0,0,0,0,1,42.70536422729492
197483646,0,0,0,0,1,41.734981536865234
197885201,0,0,0,0,1,38.89756393432617
198286817,0,0,0,0,1,36.880653381347656
198688413,0,0,0,0,1,44.08602523803711
199089988,0,0,0,0,1,45.279850006103516
199491581,0,0,0,0,1,39.00959396362305
199893173,0,0,0,0,1,49.083648681640625
200294768,0,0,0,0,1,39.831077575683594
200696366,0,0,0,0,1,46.958282470703125
201097960,0,0,0,0,1,46.4731559753418
201499553,0,0,0,0,1,55.86528015136719
201901158,0,0,0,0,1,44.906803131103516
202302753,0,0,0,0,1,41.54835510253906
202704369,0,0,0,0,1,38.71084213256836
203105927,0,0,0,0,1,46.920989990234375
203507525,0,0,0,0,1,36.24555206298828
203909128,0,0,0,0,1,38.89756393432617
204310725,0,0,0,0,1,42.4814453125
204712321,0,0,0,0,1,44.421810150146484
205113925,0,0,0,0,1,48.26342010498047
205515527,0,0,0,0,1,43.89946365356445
205917153,0,0,0,0,1,40.1671028137207
206318751,0,0,0,0,1,49.680118560791016
206720337,0,0,0,0,1,42.07090377807617
207121932,0,0,0,0,1,45.876678466796875
207523528,0,0,0,0,1,50.23896026611328
207925132,0,0,0,0,1,44.981414794921875
208326688,0,0,0,0,1,44.53373718261719
208728288,0,0,0,0,1,49.12092971801758
209129844,0,0,0,0,1,41.996253967285156
209531466,0,0,0,0,1,42.07090377807617
209933056,0,0,0,0,1,40.80177307128906
210334654,0,0,0,0,1,43.190494537353516
210736253,0,0,0,0,1,40.876434326171875
211137847,0,0,0,0,1,50.57471466064453
211539439,0,0,0,0,1,44.53373718261719
211941044,0,0,0,0,1,47.032867431640625
212342644,0,0,0,0,1,40.95109558105469
212744256,0,0,0,0,1,37.77714538574219
213145859,0,0,0,0,1,38.33738327026367
213547415,0,0,0,0,1,38.48677062988281
213948990,0,0,0,0,1,49.903778076171875
214350521,0,0,0,0,1,45.167938232421875
214752122,0,0,0,0,1,45.391761779785156
215153722,0,0,0,0,1,40.12976837158203
215555316,0,0,0,0,1,42.444122314453125
215956908,0,0,0,0,1,40.05509948730469
216358519,0,0,0,0,1,37.17920684814453
216760120,0,0,0,0,1,44.981414794921875
217161719,0,0,0,0,1,52.47532653808594
217563317,0,0,0,0,1,39.158966064453125
217964910,0,0,0,0,1,43.862152099609375
218366506,0,0,0,0,1,35.834564208984375
218768118,0,0,0,0,1,36.13346862792969
219169697,0,0,0,0,1,51.990909576416016
219571267,0,0,0,0,1,49.86650085449219
219972880,0,0,0,0,1,39.60704803466797
220374474,0,0,0,0,1,47.10745620727539
220776063,0,0,0,0,1,46.43614959716797
221177666,0,0,0,0,1,42.51876449584961
